Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Peugeot e-Traveller Long 50 kWh,46.3 kWh useable battery          Available since November 2020,13.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€54,430","£54,275"
Peugeot e-Traveller Standard 75 kWh,68 kWh useable battery          Available since February 2021,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€59,640",N/A
Peugeot e-Traveller Long 75 kWh,68 kWh useable battery          Available since February 2021,14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€60,430",N/A
Porsche Taycan ,71 kWh useable battery          Available since February 2021,5.4 sec,230 km/h,410 km,173 Wh/km,1010 km/h,Rear Wheel Drive,4,"€88,399","£75,500"
Porsche Taycan Plus,83.7 kWh useable battery          Available since February 2021,5.4 sec,230 km/h,475 km,176 Wh/km,1170 km/h,Rear Wheel Drive,4,"€94,123","£79,549"
Tesla Model S Dual Motor,95 kWh useable battery          Available since January 2023,3.2 sec,250 km/h,570 km,167 Wh/km,790 km/h,All Wheel Drive,5,"€112,990","£100,000"
Tesla Model S Plaid,95 kWh useable battery          Available since November 2022,2.1 sec,282 km/h,550 km,173 Wh/km,770 km/h,All Wheel Drive,5,"€137,990","£125,000"
Tesla Model X Dual Motor,95 kWh useable battery          Available since January 2023,3.9 sec,250 km/h,470 km,202 Wh/km,650 km/h,All Wheel Drive,7,"€120,990","£108,000"
Tesla Model X Plaid,95 kWh useable battery          Available since November 2022,2.6 sec,262 km/h,455 km,209 Wh/km,630 km/h,All Wheel Drive,7,"€140,990","£128,000"
Mini Cooper SE ,28.9 kWh useable battery          Available since March 2021,7.3 sec,150 km/h,180 km,161 Wh/km,260 km/h,Front Wheel Drive,4,"€35,700","£29,000"
JAC iEV7s ,39 kWh useable battery          Available since February 2021,12.0 sec,132 km/h,225 km,173 Wh/km,160 km/h,Front Wheel Drive,5,N/A,N/A
Volkswagen ID.4 Pure Performance,52 kWh useable battery          Available since January 2021,9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h,Rear Wheel Drive,5,N/A,"£40,275"
Audi e-tron GT quattro,85 kWh useable battery          Available since March 2021,4.1 sec,245 km/h,420 km,202 Wh/km,1030 km/h,All Wheel Drive,4,"€106,050","£84,000"
Hyundai Kona Electric 39 kWh,39.2 kWh useable battery          Available since June 2021,9.9 sec,155 km/h,250 km,157 Wh/km,220 km/h,Front Wheel Drive,5,"€36,400","£32,450"
Hyundai Kona Electric 64 kWh,64 kWh useable battery          Available since June 2021,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"€42,900","£37,750"
Porsche Taycan 4S Cross Turismo,83.7 kWh useable battery          Available since July 2021,4.1 sec,240 km/h,425 km,197 Wh/km,1050 km/h,All Wheel Drive,4,"€114,222","£91,000"
Porsche Taycan Turbo Cross Turismo,83.7 kWh useable battery          Available since July 2021,3.3 sec,250 km/h,400 km,209 Wh/km,980 km/h,All Wheel Drive,4,"€157,776","£120,900"
Porsche Taycan Turbo S Cross Turismo,83.7 kWh useable battery          Available since July 2021,2.9 sec,250 km/h,385 km,217 Wh/km,950 km/h,All Wheel Drive,4,"€191,096","£143,400"
Kia EV6 GT,74 kWh useable battery          Available since April 2022,3.5 sec,260 km/h,370 km,200 Wh/km,970 km/h,All Wheel Drive,5,"€72,990","£62,645"
BMW iX xDrive40,71 kWh useable battery          Available since October 2021,6.1 sec,200 km/h,360 km,197 Wh/km,480 km/h,All Wheel Drive,5,"€77,300","£69,905"
BMW iX xDrive50,105.2 kWh useable battery          Available since November 2021,4.6 sec,200 km/h,505 km,208 Wh/km,680 km/h,All Wheel Drive,5,"€100,100","£99,785"
MG MG5 Electric Long Range,57.4 kWh useable battery          Available since March 2022,7.7 sec,185 km/h,335 km,171 Wh/km,330 km/h,Front Wheel Drive,5,"€38,490","£30,995"
MG Marvel R Performance,65 kWh useable battery          Available since October 2021,4.9 sec,200 km/h,330 km,197 Wh/km,390 km/h,All Wheel Drive,5,"€50,990",N/A
Hyundai IONIQ 5 Standard Range 2WD,54 kWh useable battery          Available since July 2021,8.5 sec,185 km/h,295 km,183 Wh/km,720 km/h,Rear Wheel Drive,5,"€43,900","£43,150"
Kia EV6 Standard Range 2WD,54 kWh useable battery          Available since October 2021,8.5 sec,185 km/h,305 km,177 Wh/km,750 km/h,Rear Wheel Drive,5,"€46,990",N/A
Kia EV6 Long Range 2WD,74 kWh useable battery          Available since October 2021,7.3 sec,185 km/h,410 km,180 Wh/km,1070 km/h,Rear Wheel Drive,5,"€51,990","£45,245"
Kia EV6 Long Range AWD,74 kWh useable battery          Available since October 2021,5.2 sec,185 km/h,400 km,185 Wh/km,1050 km/h,All Wheel Drive,5,"€55,980","£51,745"
Mercedes EQS 450+,107.8 kWh useable battery          Available since October 2021,6.2 sec,210 km/h,640 km,168 Wh/km,960 km/h,Rear Wheel Drive,5,"€109,551","£105,610"
Mercedes EQS 580 4MATIC,107.8 kWh useable battery          Available since October 2021,4.3 sec,210 km/h,605 km,178 Wh/km,900 km/h,All Wheel Drive,5,"€141,705",N/A
Volkswagen ID.4 Pure,52 kWh useable battery          Available since February 2021,10.9 sec,160 km/h,285 km,182 Wh/km,360 km/h,Rear Wheel Drive,5,N/A,"£38,845"
Audi Q4 e-tron 40,76.6 kWh useable battery          Available since June 2021,8.5 sec,160 km/h,405 km,189 Wh/km,510 km/h,Rear Wheel Drive,5,"€51,900","£49,930"
Audi Q4 e-tron 50 quattro,76.6 kWh useable battery          Available since July 2021,6.2 sec,180 km/h,385 km,199 Wh/km,490 km/h,All Wheel Drive,5,"€57,900","£56,310"
Audi Q4 Sportback e-tron 50 quattro,76.6 kWh useable battery          Available since August 2021,6.2 sec,180 km/h,400 km,192 Wh/km,500 km/h,All Wheel Drive,5,"€59,900","£57,810"
Mercedes EQB 350 4MATIC,66.5 kWh useable battery          Available since February 2022,6.2 sec,160 km/h,335 km,199 Wh/km,480 km/h,All Wheel Drive,7,"€58,197","£56,810"
Mercedes EQA 300 4MATIC,66.5 kWh useable battery          Available since May 2021,7.7 sec,160 km/h,350 km,190 Wh/km,500 km/h,All Wheel Drive,5,"€53,746","£53,010"
Mercedes EQA 350 4MATIC,66.5 kWh useable battery          Available since May 2021,6.0 sec,160 km/h,350 km,190 Wh/km,500 km/h,All Wheel Drive,5,"€56,424","£54,510"
Toyota PROACE Verso M 75 kWh,68 kWh useable battery          Available since October 2021,13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€64,530",N/A
Toyota PROACE Verso L 75 kWh,68 kWh useable battery          Available since October 2021,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€65,385",N/A
CUPRA Born 150 kW - 58 kWh,58 kWh useable battery          Available since October 2021,7.3 sec,160 km/h,350 km,166 Wh/km,470 km/h,Rear Wheel Drive,5,"€39,370","£36,475"
CUPRA Born 170 kW - 58 kWh,58 kWh useable battery          Available since March 2022,6.6 sec,160 km/h,345 km,168 Wh/km,460 km/h,Rear Wheel Drive,5,"€40,750","£39,205"
CUPRA Born 170 kW - 77 kWh,77 kWh useable battery          Available since March 2022,7.0 sec,160 km/h,450 km,171 Wh/km,570 km/h,Rear Wheel Drive,4,"€46,450","£41,975"
BMW i4 M50,80.7 kWh useable battery          Available since November 2021,3.9 sec,225 km/h,435 km,186 Wh/km,670 km/h,All Wheel Drive,5,"€70,800","£71,085"
Renault Megane E-Tech EV60 220hp,60 kWh useable battery          Available since April 2022,7.4 sec,160 km/h,360 km,167 Wh/km,500 km/h,Front Wheel Drive,5,"€46,600","£36,995"
Peugeot e-Rifter Standard 50 kWh,46.3 kWh useable battery          Available since July 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,7,"€41,240","£32,300"
Peugeot e-Rifter Long 50 kWh,46.3 kWh useable battery          Available since July 2021,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,Front Wheel Drive,7,"€42,440","£34,300"
MG Marvel R ,65 kWh useable battery          Available since October 2021,7.9 sec,200 km/h,335 km,194 Wh/km,400 km/h,Rear Wheel Drive,5,"€46,990",N/A
Audi Q4 e-tron 45 quattro,76.6 kWh useable battery          Available since August 2021,6.9 sec,180 km/h,385 km,199 Wh/km,490 km/h,All Wheel Drive,5,"€53,990",N/A
Audi Q4 Sportback e-tron 40,76.6 kWh useable battery          Available since August 2021,8.5 sec,160 km/h,425 km,180 Wh/km,540 km/h,Rear Wheel Drive,5,"€53,900","£51,430"
BMW iX3 ,74 kWh useable battery          Available since September 2021,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,Rear Wheel Drive,5,"€67,300","£64,165"
Renault Megane E-Tech EV40 130hp,40 kWh useable battery          Available since April 2022,10.0 sec,150 km/h,250 km,160 Wh/km,360 km/h,Front Wheel Drive,5,"€42,000",N/A
Mercedes EQS AMG 53 4MATIC+,107.8 kWh useable battery          Available since February 2022,3.4 sec,250 km/h,565 km,191 Wh/km,840 km/h,All Wheel Drive,5,"€155,009","£161,860"
Mercedes EQE 350+,90.6 kWh useable battery          Available since April 2022,6.4 sec,210 km/h,525 km,173 Wh/km,780 km/h,Rear Wheel Drive,5,N/A,N/A
MG ZS EV Standard Range,49 kWh useable battery          Available since November 2021,8.6 sec,175 km/h,270 km,181 Wh/km,260 km/h,Front Wheel Drive,5,"€33,990","£29,495"
MG ZS EV Long Range,68.3 kWh useable battery          Available since November 2021,8.4 sec,175 km/h,365 km,187 Wh/km,410 km/h,Front Wheel Drive,5,"€37,990","£31,995"
Mercedes EQV 250 Long,60 kWh useable battery          Available since October 2021,12.0 sec,160 km/h,205 km,293 Wh/km,190 km/h,Front Wheel Drive,7,"€68,056",N/A
Mercedes EQV 250 Extra-Long,60 kWh useable battery          Available since October 2021,12.0 sec,160 km/h,205 km,293 Wh/km,190 km/h,Front Wheel Drive,7,"€68,949",N/A
Opel Combo-e Life 50 kWh,46.3 kWh useable battery          Available since October 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,7,"€43,050","£34,035"
Opel Combo-e Life XL 50 kWh,46.3 kWh useable battery          Available since October 2021,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,Front Wheel Drive,7,"€44,750","£34,635"
Citroen e-Berlingo M 50 kWh,46.3 kWh useable battery          Available since September 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,5,"€37,790","£31,495"
Citroen e-Berlingo XL 50 kWh,46.3 kWh useable battery          Available since September 2021,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,Front Wheel Drive,7,"€43,640","£32,495"
Tesla Model 3 ,57.5 kWh useable battery          Available since December 2021,6.1 sec,225 km/h,380 km,151 Wh/km,630 km/h,Rear Wheel Drive,5,"€44,668","£42,990"
Volkswagen ID.5 Pro,77 kWh useable battery          Available since March 2022,10.4 sec,160 km/h,430 km,179 Wh/km,540 km/h,Rear Wheel Drive,5,"€47,935","£50,710"
Volkswagen ID.5 Pro Performance,77 kWh useable battery          Available since March 2022,8.4 sec,160 km/h,430 km,179 Wh/km,540 km/h,Rear Wheel Drive,5,"€48,970","£52,185"
Volkswagen ID.5 GTX,77 kWh useable battery          Available since March 2022,6.3 sec,180 km/h,405 km,190 Wh/km,560 km/h,All Wheel Drive,5,"€56,455","£56,545"
Mercedes EQB 300 4MATIC,66.5 kWh useable battery          Available since February 2022,8.0 sec,160 km/h,335 km,199 Wh/km,480 km/h,All Wheel Drive,7,"€55,519","£55,310"
Porsche Taycan GTS,83.7 kWh useable battery          Available since February 2022,3.7 sec,250 km/h,450 km,186 Wh/km,1110 km/h,All Wheel Drive,4,"€134,214","£106,000"
Porsche Taycan GTS Sport Turismo,83.7 kWh useable battery          Available since February 2022,3.7 sec,250 km/h,425 km,197 Wh/km,1050 km/h,All Wheel Drive,4,"€135,166","£107,000"
Toyota bZ4X FWD,64 kWh useable battery          Available since June 2022,7.5 sec,160 km/h,335 km,191 Wh/km,500 km/h,Front Wheel Drive,5,"€47,490","£45,710"
Toyota bZ4X AWD,64 kWh useable battery          Available since June 2022,6.9 sec,160 km/h,330 km,194 Wh/km,490 km/h,All Wheel Drive,5,"€57,390","£52,110"
Subaru Solterra AWD,64 kWh useable battery          Available since June 2022,6.9 sec,160 km/h,320 km,200 Wh/km,480 km/h,All Wheel Drive,5,"€57,490","£49,995"
Peugeot e-208 ,46.3 kWh useable battery          Available since November 2021,8.1 sec,150 km/h,290 km,160 Wh/km,460 km/h,Front Wheel Drive,5,"€39,100","£34,595"
Peugeot e-2008 SUV ,46.3 kWh useable battery          Available since November 2021,8.5 sec,150 km/h,260 km,178 Wh/km,420 km/h,Front Wheel Drive,5,"€37,900","£35,150"
Opel Corsa-e ,46.3 kWh useable battery          Available since November 2021,8.1 sec,150 km/h,295 km,157 Wh/km,470 km/h,Front Wheel Drive,5,"€36,395","£31,130"
Opel Mokka-e ,46.3 kWh useable battery          Available since November 2021,9.2 sec,150 km/h,260 km,178 Wh/km,420 km/h,Front Wheel Drive,5,"€40,650","£34,910"
Citroen e-C4 ,46.3 kWh useable battery          Available since November 2021,9.7 sec,150 km/h,275 km,168 Wh/km,440 km/h,Front Wheel Drive,5,"€36,040","£30,995"
Renault Megane E-Tech EV60 130hp,60 kWh useable battery          Available since April 2022,10.5 sec,150 km/h,365 km,164 Wh/km,510 km/h,Front Wheel Drive,5,"€47,000",N/A
SsangYong Korando e-Motion,56 kWh useable battery          Available since February 2022,8.5 sec,156 km/h,290 km,193 Wh/km,330 km/h,Front Wheel Drive,5,"€40,490",N/A
BMW iX M60,105.2 kWh useable battery          Available since April 2022,3.8 sec,250 km/h,485 km,217 Wh/km,650 km/h,All Wheel Drive,5,"€136,100","£119,225"
Tesla Model 3 Long Range Dual Motor,75 kWh useable battery          Available since November 2021,4.4 sec,233 km/h,485 km,155 Wh/km,750 km/h,All Wheel Drive,5,"€53,668","£50,990"
Citroen e-Jumpy Combi M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,7,"€51,940","£35,795"
Citroen e-Jumpy Combi XL 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€52,730","£35,995"
Citroen e-Jumpy Combi M 75 kWh,68 kWh useable battery          Available since November 2020,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€57,940",N/A
Citroen e-Jumpy Combi XL 75 kWh,68 kWh useable battery          Available since November 2020,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€58,730",N/A
Opel Vivaro-e Combi M 50 kWh,46.3 kWh useable battery          Available since October 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,7,"€50,992","£37,320"
Opel Vivaro-e Combi L 50 kWh,46.3 kWh useable battery          Available since October 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€51,825","£37,520"
Opel Vivaro-e Combi M 75 kWh,68 kWh useable battery          Available since October 2020,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€56,942",N/A
Opel Vivaro-e Combi L 75 kWh,68 kWh useable battery          Available since October 2020,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€57,775",N/A
Peugeot e-Expert Combi Standard 50 kWh,46.3 kWh useable battery          Available since February 2021,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,7,"€51,940",N/A
Peugeot e-Expert Combi Long 50 kWh,46.3 kWh useable battery          Available since February 2021,13.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€52,730",N/A
Peugeot e-Expert Combi Standard 75 kWh,68 kWh useable battery          Available since February 2021,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€57,940",N/A
Peugeot e-Expert Combi Long 75 kWh,68 kWh useable battery          Available since February 2021,14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€58,730",N/A
Toyota PROACE Shuttle M 50 kWh,46.3 kWh useable battery          Available since June 2021,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,N/A,N/A
Toyota PROACE Shuttle L 50 kWh,46.3 kWh useable battery          Available since June 2021,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,N/A,N/A
Toyota PROACE Shuttle M 75 kWh,68 kWh useable battery          Available since June 2021,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,N/A,N/A
Toyota PROACE Shuttle L 75 kWh,68 kWh useable battery          Available since June 2021,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,N/A,N/A
Mercedes eVito Tourer Long 90 kWh,90 kWh useable battery          Available since October 2020,12.0 sec,160 km/h,310 km,290 Wh/km,310 km/h,Front Wheel Drive,7,"€64,248","£68,352"
Mercedes eVito Tourer Extra-Long 90 kWh,90 kWh useable battery          Available since October 2020,12.0 sec,160 km/h,305 km,295 Wh/km,310 km/h,Front Wheel Drive,7,"€65,140","£75,846"
Mercedes eVito Tourer Long 60 kWh,60 kWh useable battery          Available since January 2022,12.0 sec,160 km/h,210 km,286 Wh/km,310 km/h,Front Wheel Drive,7,"€60,678",N/A
Mercedes eVito Tourer Extra-Long 60 kWh,60 kWh useable battery          Available since January 2022,12.0 sec,160 km/h,205 km,293 Wh/km,300 km/h,Front Wheel Drive,7,"€61,571",N/A
Tesla Model Y Long Range Dual Motor,75 kWh useable battery          Available since February 2022,5.0 sec,217 km/h,435 km,172 Wh/km,670 km/h,All Wheel Drive,5,"€59,017","£52,990"
Tesla Model 3 Performance,75 kWh useable battery          Available since February 2022,3.3 sec,261 km/h,460 km,163 Wh/km,710 km/h,All Wheel Drive,5,"€57,668","£57,990"
Porsche Taycan Sport Turismo,71 kWh useable battery          Available since March 2022,5.4 sec,230 km/h,380 km,187 Wh/km,930 km/h,Rear Wheel Drive,4,"€89,351","£76,500"
Porsche Taycan Plus Sport Turismo,83.7 kWh useable battery          Available since March 2022,5.4 sec,230 km/h,445 km,188 Wh/km,1090 km/h,Rear Wheel Drive,4,"€95,074","£80,549"
Porsche Taycan 4S Sport Turismo,71 kWh useable battery          Available since March 2022,4.0 sec,250 km/h,370 km,192 Wh/km,910 km/h,All Wheel Drive,4,"€109,819","£87,500"
Porsche Taycan 4S Plus Sport Turismo,83.7 kWh useable battery          Available since March 2022,4.0 sec,250 km/h,430 km,195 Wh/km,1060 km/h,All Wheel Drive,4,"€115,341","£91,406"
Porsche Taycan Turbo Sport Turismo,83.7 kWh useable battery          Available since March 2022,3.2 sec,260 km/h,405 km,207 Wh/km,1000 km/h,All Wheel Drive,4,"€157,300","£120,900"
Porsche Taycan Turbo S Sport Turismo,83.7 kWh useable battery          Available since March 2022,2.8 sec,260 km/h,395 km,212 Wh/km,970 km/h,All Wheel Drive,4,"€190,620","£143,400"
Volkswagen ID.4 Pro,77 kWh useable battery          Available since February 2022,10.4 sec,160 km/h,410 km,188 Wh/km,520 km/h,Rear Wheel Drive,5,N/A,"£44,605"
